Client,regnr,Marke,Fordonsslag,Fordonsstatus,Karosserikod,Arsmodell,TotalVikt,Egenklass,Motoreffekt,Handelsbet,Karossny,api_matched,UW_Kategori,classification_method,classification_confidence,classification_reasoning
Client - 17,REGNR1897,BRENDERUP,SLÄP,ITRAFIK,Släpkärra,2017.0,,Släp,,4260TB,Släpkärra,True,Släp,rule_based,,
Client - 17,REGNR1898,"VW PICKUP EH 2,0",LB,ITRAFIK,Flak - Lämmar,2010.0,,Lätt lastbil,750,TRANSPORTER,Flak - Lämmar,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1899,FORD FDG6,PB,ITRAFIK,Fordon avsett för fler ändamål,2012.0,,Personbil,920,TRANSIT,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 17,REGNR1900,ISUZU,LB,ITRAFIK,Pick-up,2021.0,,Lätt lastbil,1200,,Pick-up,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1901,FORD,LB,ITRAFIK,Skåpbil,2018.0,,Lätt lastbil,735,TRANSIT CONNECT,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1902,VOLVO,LB,ITRAFIK,Lastbil,2015.0,,Lastbil,4050,FH 6*4,Lastbil,True,Tung lastbil,rule_based,,
Client - 17,REGNR1903,NISSAN,LB,ITRAFIK,Pick-up,2017.0,,Lätt lastbil,1400,NISSAN NAVARA,Pick-up,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1904,SEAT,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,1100,SEAT ATECA,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1905,FIAT,LB,ITRAFIK,Skåpbil,2023.0,,Lätt lastbil,770,FIAT DOBLO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1906,TRAILERGRUPPEN 1001/LB,SLÄP,ITRAFIK,Flak - Godslåda,1994.0,,Släp,,,Flak - Godslåda,True,Släp,rule_based,,
Client - 17,REGNR1907,FORD,PB,ITRAFIK,Stationsvagn kombivagn,2018.0,,Personbil,700,FOCUS,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1908,VOLVO,LB,ITRAFIK,Lastbil,2018.0,,Lastbil,1880,FL,Lastbil,True,Tung lastbil,rule_based,,
Client - 17,REGNR1909,FORD,PB,ITRAFIK,Fordon avsett för fler ändamål,2023.0,,Personbil,956,TOURNEO CUSTOM,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 17,REGNR1910,VOLVO,LB,ITRAFIK,Skåpbil,2021.0,,Lastbil,3150,FH 6X2,Skåpbil,True,Tung lastbil,rule_based,,
Client - 17,REGNR1911,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,740,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1912,VOLVO FM 480-37 8X4,LB,ITRAFIK,"Rullflaksväxlare, Krokarm",2008.0,,Lastbil,3530,,"Rullflaksväxlare, Krokarm",True,Tung lastbil,rule_based,,
Client - 17,REGNR1913,HOLDER P70C-460,TR,ITRAFIK,Traktor,1984.0,,???,260,,Traktor,False,"Traktor, minitraktor, åkgräsklippare",ml_model,0.789,"LogReg: Traktor, minitraktor, åkgräsklippare (79%)"
Client - 17,REGNR1914,VOLVO FH-440 4*2,LB,ITRAFIK,Anordning för påhängsvagn,2010.0,,Lastbil,3240,,Anordning för påhängsvagn,True,Tung lastbil,rule_based,,
Client - 17,REGNR1915,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2023.0,,Personbil,1100,KAROQ,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1916,FORD DYB,PB,ITRAFIK,Stationsvagn kombivagn,2015.0,,Personbil,700,FOCUS,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1917,FORD,PB,ITRAFIK,Fordon avsett för fler ändamål,2021.0,,Personbil,1400,KUGA,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 17,REGNR1918,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2021.0,,Lätt lastbil,900,CADDY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1919,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1920,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1921,VOLVO FH16 6*4,LB,ITRAFIK,Banke,2010.0,,Lastbil,5150,,Banke,True,Tung lastbil,rule_based,,
Client - 17,REGNR1922,RENAULT,LB,ITRAFIK,Skåpbil,2015.0,,Lätt lastbil,550,KANGOO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1923,FORD,PB,ITRAFIK,Halvkombi,2017.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1924,RENAULT,LB,ITRAFIK,Skåpbil,2021.0,,Lätt lastbil,700,KANGOO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1925,FORD,PB,ITRAFIK,Halvkombi,2015.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1926,VALTRA,TR,ITRAFIK,,2023.0,,???,1290,N155E,,False,Släp,ml_model,0.68,LogReg: Släp (68%)
Client - 17,REGNR1927,VOLVO FMX 6X4,LB,ITRAFIK,Lastbil,2011.0,,Lastbil,3750,FM,Lastbil,True,Tung lastbil,rule_based,,
Client - 17,REGNR1928,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2016.0,,Personbil,810,GOLF,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1929,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2019.0,,Personbil,1100,KAROQ,Stationsvagn kombivagn,True,Personbil,rule_based,,
